message,table
[사하구]추석 이후 코로나19 지역 확산이 우려됩니다. 마스크착용 등 생활방역 준수하여 주시기 바랍니다(관내 확진자가 다녀간 모든 동선은 철저하게 소독완료하였음) ,PD
"[고흥군청]추석연휴 이후 발열, 기침 등 코로나19 의심증상이 있는 분은 외출을 자제하고 보건소에서 상담받으시기 바라며, 실내외에서 반드시 마스크 착용 바랍니다. ",PD
[관악구청] 코로나 확진자 2명 추가 발생 및 우리구 확진자 역학조사 결과 공개 자세한 내용은 블로그 참고 바랍니다. blog.naver.com/gwanak_gu ,PD
"[보성군] 코로나19 추석연휴 특별방역 협조에 감사드리며 발열, 기침 등 의심 증상이 있을 시 보성군 보건소 선별진료소(850-8816)로 상담 바랍니다. ",PD
[부평구청] 코로나19 확진환자 1명 발생(타지역 확진환자 접촉/청천2동). 방역 및 역학조사 완료. blog.naver.com/withbupyeong ,PD
"[구로구청]코로나19 확진자 1명 발생(188번,구로5동), 우리구 동선없음, 구청 블로그(홈페이지) 참고바랍니다 blog.naver.com/digital9ro. ",PD
"[울산광역시] 코로나19 153번(울주군, 부산450번 및 울산148번 접촉) 확진자 발생. 자가격리중. 접촉자 및 이동동선 없습니다. ",PD
"[화성시청] 코로나19 서울시 3번 확진자(영천동 거주) 발생. 격리병원 이송 및 자택·주변 소독예정, 세부내용은 화성시 홈페이지, SNS 등 참조바랍니다. ",PD
"[예산군청] 코로나19 의심증상(발열, 기침, 인후통 등)이 있을시 출근, 외출을 자제하시고 보건소 선별진료소(☎ 339-6058)에서 상담 받으시기 바랍니다. ",PD
[의정부시청]코로나19 확진자 14명(172번~185번) 발생【호원2동 마스터플러스병원】확진자 동선 등은 시 홈페이지 및 블로그에 공개할 예정입니다. ,PD
"[영광군청] 발열, 호흡곤란, 인후통 등 코로나19 의심증상이 있는 분은 외출을 삼가하시고, 군 보건소에 상담받으시기 바라며 실내외에서 마스크를 꼭 착용바랍니다. ",PD
"[안성시청]코로나19 안성시 30번 확진자(해외입국자, 대덕면) 자가격리 중 확진. 역학조사 후 세부동선 홈페이지에 공개 예정임을 알려드립니다. ",PD
"[순창군청] 코로나19 예방을 위해 복흥, 쌍치 주민을 비롯한 군민들께서는 정읍시 방문을 자제하여 주시기 바랍니다. ",PD
"[울산광역시] 코로나19 154번(중구, 해외입국) 확진자 발생. 이동동선은 없습니다. ",PD
[익산시청]익산시 9월17일 이후 추가 확진자 없음. 코로나19 예방을 위해 외출을 자제하고 최대한 집안에 머물러주세요(859-7492~5) ,PD
"[순창군청] 정읍시 코로나19 감염자 8명 발생. 구절초 구경 등을 위해 방문 자제, 불가피한 방문시 마스크 착용, 최소시간 머물기 등 방역수칙 준수바랍니다. ",PD
"[진주시청] 코로나 대응, 진주시 자체 독감 무료예방접종, 19세~61세 (‘59.1.1~‘01.12.31생) 국가공급백신과 유통경로 달라 안심접종 ",PD
"[고령군청]발열과 기침, 미각소실 등 코로나19 의심증상이 있는 분은 외출·만남 자제, 의료기관을 방문하지 말고 바로 관할 보건소 상담 후 검사받으시기 바랍니다. ",PD
"[남해군청] 추석연휴기간 외지인과 접촉 후 코로나19 증상(발열, 기침, 인후통, 근육통 등)이 있으신 분은 외출을 자제하고 보건소에 상담바랍니다. ",PD
"[곡성군청] 전북 정읍시 코로나19 감염자 8명 발생. 방문 자제를 요청드리며, 불가피한 경우 방문시 마스크 착용, 최소시간 머물기 등 방역수칙 준수바랍니다. ",PD
"[고창군청] 우리군 인접지역 코로나19 발생 사례에서 볼때 세대를 달리하는 가족간 모임시에도 반드시 마스크 착용, 거리두기 등 방역수칙을 준수바랍니다. ",PD
"[김해시청]마스크 착용 의무화 행정명령으로 내달 13일부터 미착용자는 과태료 부과합니다. 빠른 코로나 종식을 위해 실내,외 어디든지 마스크 착용은 필수입니다. ",PD
"[해운대구]코로나19 감염차단을 위해 10.7일 '구민 다함께 소독의 날' 운영. 환기 및 자주 접촉하는 표면 등을 알콜,락스,소독제로 닦아주세요.746-4000 ",PD
"[구례군청] 고향, 여행을 다녀오신분은 집에 머물며 증상을 살피고 코로나19로부터 가족의 건강과 공동체의 안전을 위해 마스크착용, 손씻기, 거리두기에 동참해주세요 ",PD
"[경상북도청] 코로나 감염고리 끊기. 사람이 많은곳 방문자제, 실내외 마스크 바로쓰기, 음식점·카페 등 머무는시간 최소화 바랍니다. ",PD
"[화성시청] 코로나19 138번(향남읍, 해외입국자) 확진자 발생. 격리병원이송 및 자택·주변지역 소독예정, 세부내용 화성시 홈페이지, SNS 등 참조바랍니다. ",PD
"[완도군청]코로나19 예방위해 관내 모든 시설 방문시 마스크 쓰기,발열 체크,출입 명부 작성,손 소독,거리두기 등 청정완도 생활방역 다섯가지 수칙 준수바랍니다. ",PD
"[정읍시청1]현재까지 정읍시 코로나확진자는 14명이고 10.5일 13번 (50대, 남), 10.6일 14번(70대, 여) 확진자가 추가로 발생하였습니다. ",PD
"[강진군청]코로나19 예방을 위해 타지역 방문과 여행,모임,외출을 자제하고,실내.외 항상 마스크 착용,손 씻기,사람간 접촉 최소화등 방역수칙을 준수하기 바랍니다. ",PD
"[무주군청] 코로나19▲가족간 확진 증가▲발열, 미각·후각 상실, 근육통 등 유증상시 외출 하지마시고☎1339 상담 및 선별진료소(320-8360) 진료바랍니다. ",PD
"[남양주시청] 10.6.(화) 호평동 주민 1명 코로나19 확진. 이동동선은 홈페이지, 블로그 참고바랍니다. c11.kr/idgc ",PD
"[완도군청]연휴기간 외부인과 접촉 하신분은 코로나19 확산 방지를 위해 외출자제, 마스크 착용하시고 의심증상 발생시 보건의료원(550-6767)에 상담 바랍니다. ",PD
"[영양군청]코로나19 확산 방지를 위해 연휴기간동안 고향, 여행을 다녀오신 분은 발열, 기침 등 증상이 있으시면 보건소로 연락 바랍니다(054-680-5122). ",PD
"[광주광역시]발열과 기침, 근육통 등 코로나19 의심증상이 있는분은 외출·만남 자제, 의료기관을 방문하지 말고 바로 거주지보건소에서 무료로 검사받으시기 바랍니다 ",PD
"[부천시청] 코로나19 확진자 1명 발생[상동 거주] 역학조사중, 자택 및 인근지역 방역소독 완료 blog.naver.com/bucheon-city ",PD
"[고흥군청]추석연휴 후 발열, 기침 등 코로나19 의심증상이 있는 분은 보건소(830-4616)로 문의하시기 바라며, 언제 어디서나 마스크를 착용하시기 바랍니다. ",PD
"[강화군청] 코로나19 확진자 2명 발생, 이동동선 등 세부내용은 군청 카톡채널(https://pf.kakao.com/_cxoxnGT) 참고 하시기 바랍니다. ",PD
"[미추홀구청] 코로나19 확진자 1명발생(용현1.4동, 해외입국자), 방역완료, 세부내용 홈페이지 게시 http://michu.incheon.kr/corona ",PD
"[홍성군청]고향, 여행을 다녀오신분은 집에 머물며 증상을 살피고 코로나19로부터 가족의 건강과 공동체의 안전을 위해 마스크착용, 손씻기, 거리두기에 동참해주세요. ",PD
"[고양시청]코로나19확진자6명발생▶400~405번(행신3동 2,관산동 3,성사2동 1)[홈페이지,카카오톡채널]참조바랍니다. https://han.gl/iMmgw ",PD
[관악구청] 코로나 확진자 4명 추가 발생 및 우리구 확진자 역학조사 결과 공개 자세한 내용은 블로그 참고 바랍니다. blog.naver.com/gwanak_gu ,PD
"[양평군청] 어제 코로나19 검사 결과 151건 중 음성 149건, 양성 1건, 미결정 1건이며 역학조사 후 결과는 홈페이지 공개 예정입니다. ",PD
"[청주시청] 코로나19 예방 위해 고위험시설 방문이나 행사·모임 자제/ 마스크 착용, 손 씻기 등 수칙 준수/ 코로나19 증상 발현 시 신속 검사 바랍니다. ",PD
"[강화군청] 코로나19 확진자 동선 관련 유언비어 자제 당부, 접촉자가 모두 확인된 방문 시설은 2차 피해를 막기 위해 상호를 밝히고 있지 않습니다. ",PD
"[송파구청]10.6(화) 15시30분 현재 코로나19확진자 1명 추가발생(문정동), 역학조사 진행중. 세부내용은 홈페이지(songpa.go.kr)를 참고바랍니다. ",PD
"[태백시청]우리 모두의 안전을위해 10월9일~10월11일 진행될 한글날 집회참석을 자제하여 주시고, 코로나19 감염예방을 위해 방역수칙을 준수하여 주시기바랍니다. ",PD
[곡성군청] [개천절 집회 참석금지] 위반시 고발조치(벌금 300만원 이하) 확진자 발생시 손해배상청구. 코로나19 확산방지를 위해 협조하여 주시기 바랍니다. ,PD
"[고양시청] 코로나19 확진자 1명 발생 ▶406번(흥도동,해외입국자) [홈페이지] [카카오톡 채널]참조 바랍니다. https://han.gl/iMmgw ",PD
[곡성군청] [한글날 집회 참석금지] 위반시 고발조치(벌금 300만원 이하) 확진자 발생시 손해배상청구. 코로나19 확산방지를 위해 협조하여 주시기 바랍니다. ,PD
"[해남군청] 추석연휴 타지역을 방문하신 분은 기침, 발열 등 코로나19 의심증상을 살피고, 의심증상이 있는 분은 외출을 자제하시고 선별진료소로 상담 바랍니다. ",PD
"[장수군청] 인근 시군 코로나 확진자 지속 발생중이니 타지역 방문 및 만남 자제, 손소독, 거리두기, 실내외 마스크 착용 등 개인방역수칙을 준수하시기 바랍니다. ",PD
"[순창군청] 인근 시군 코로나19 확진자 지속 발생 중이니 타지역 방문 및 만남 자제, 실내외 마스크 착용 등 방역수칙 준수하여 주시기 바랍니다. ",PD
[성동구청] 10. 6.(화) 124번 확진자 발생 (옥수동) 상세내용 / 코로나19 관련 문자 신청 c19.sd.go.kr ,PD
"[정읍시청] 코로나19 확산 방지를 위해 발열, 기침 등 증상 있을시 바로 보건소로 문의, 선별진료소에서 검사후 반드시 다른장소 방문 자제 및 자가격리 실천 부탁 ",PD
[영등포구청] 코로나 구민확진자 1명 발생[194번째(완치168명/치료중26명)] 역학조사 후 동선공개 예정. 구청홈페이지 확인바랍니다. ☞ ydp.go.kr ,PD
[의정부시청]코로나19 확진자 12명(187번~198번) 발생【호원2동 마스터플러스병원】확진자 동선 등은 시 홈페이지 및 블로그에 공개할 예정입니다. ,PD
"[연수구청]코로나19 확진자 2명(자가격리자) 발생(옥련1동), 방역 및 역학조사 후 이동경로 구청 홈페이지 게시 예정입니다. reurl.kr/3379A999FV ",PD
"[화성시청] 코로나19 139번(우정읍) 확진자 발생. 격리병원 이송 및 자택·주변 소독예정, 세부내용 화성시 홈페이지, SNS 등 참조바랍니다. ",PD
"[영광군청] 서울,경기도,전북 등 전국에서 코로나19 확진자 다수 발생, 타지역 방문을 자제하시고, 실내외에서 마스크를 반드시 착용하시기 바랍니다. ",PD
"[남양주시청] 10.6.(화) 호평동 주민 2명 코로나19 확진. 이동동선은 홈페이지, 블로그 참고바랍니다. c11.kr/ie2r ",PD
[의정부시청]코로나19 확진자 3명(199번~201번) 발생【호원2동 마스터플러스병원】확진자 동선 등은 시 홈페이지 및 블로그에 공개할 예정입니다. ,PD
"[구례군청] 서울,경기도,전북 등 전국에서 코로나19 확진자 다수 발생, 타지역 방문을 자제하시고, 실내외에서 마스크를 반드시 착용하시기 바랍니다. ",PD
"[완도군청]서울, 경기, 전북 등 코로나19 확진자 다수 발생. 타 지역 방문 자제 바라며, 마스크 착용, 거리두기 등 생활방역 수칙을 준수 바랍니다.[완도군청] ",PD
[순창군청] 수도권 및 정읍지역에서 코로나19 감염자 지속 발생하고 있으므로 이들 지역에 방문하지 않도록 하고 방역수칙 준수바랍니다. ,PD
"[성주군청] 코로나19 의심증상(발열, 인후통, 근육통 등)이 있으신 분은 의료기관 방문 전에 관할 보건소 선별진료소를 먼저 방문하여 주시기 바랍니다. ",PD
[함평군청]코로나19 고리를 끊는 가장 좋은 방법은 마스크 착용입니다. 군민 모두 동참 부탁드리며 유증상시 보건소 선별진료소로 상담바랍니다. ,PD
"[영주시청]코로나 예방을 위해 10.9.한글날 불법집회 등 참여는 자제해주시고, 생활 주변 방역수칙 위반사항은 '안전신문고'(앱 또는 웹사이트)로 신고바랍니다. ",PD
"[인천광역시]명절이후 코로나19 의심증상(오한,발열,두통,근육통,인후통등)발생시 타인과 접촉자제, 48시간 이내 신분증 지참후 주소지 보건소로 검사(무료)바랍니다 ",PD
"[고창군청] 코로나19 확산방지를 위해 발열, 기침 등 증상 있을 시 즉시 보건소 선별진료소(560-8737) 로 문의 해주시기 바랍니다. ",PD
[수원시청] 코로나 극복 심리상담 안내 ▲수원시행복정신건강복지센터 031-253-5737(9시~18시) ▲정신건강상담전화 1577-0199(18시 이후) ,PD
"[남원시청] 인근 지자체 코로나19 확진자 지속적으로 다수 발생. 타 지역 방문 및 만남 자제 바라며, 마스크 착용, 거리두기 등 생활방역 수칙을 준수바랍니다. ",PD
"[상주시청] 코로나19예방을 위해 타지역 방문 및 만남 자제, 손소독, 거리두기, 실내 외 마스크 착용 등 개인방역수칙을 준수하시기 바랍니다. ",PD
"[안동시청] 명절이후 코로나19 의심증상(발열 및 기침, 갑자기 냄새, 맛을 모름 등)발생시 외출을 삼가고 타인과 접촉자제, 1339 또는 보건소로 상담바랍니다 ",PD
[강동구청]10.7.(수) 10시 기준 코로나19 확진자1명(둔촌2동) 발생.현재 역학조사중으로 자세한 내용은 홈페이지(gd.go.kr) 참고해 주시기 바랍니다. ,PD
[안성시청]①안성시는 코로나19 감염병으로 불안감을 느끼는 시민에게 무료 심리상담을 지원하고 있습니다. ,PD
"[미추홀구청] 코로나19 확진자 1명 발생(주안5동), 세부내용은 홈페이지 게시하였습니다. http://michu.incheon.kr/corona ",PD
"[사상구청]사상구 코로나19 확진자 발생(10.4. 확진자의 가족), 역학조사 후 동선 있을시 공개예정이오니 손씻기, 마스크착용 등 방역수칙 준수바랍니다. ",PD
[강릉시청] 코로나19 확산방지를 위해 10.9.~11. 수도권 집회 참가를 자제하여 주시기 바랍니다. ,PD
"[대구광역시] 검사하Go! 코로나잡Go! 추석연휴이후 코로나19 의심되면(기침, 인후통, 발열 등) 보건소 콜센터에서 예약 후 신속히 코로나 진단검사를 받아주세요 ",PD
"[무주군청] 코로나19▲발열,기침,미각·후각 상실 등 증상시▲외출하지마시고▲선별진료소 문의(320-8360) 후 검사 받으시기 바랍니다▲마스크 착용은 필수입니다. ",PD
"[고양시청] 추석연휴 가족모임 이후 코로나19 증상(발열,기침,인후통,근육통 등)이 있는 분은 반드시 보건소 선별진료소에서 검사받으시기 바랍니다. ",PD
[미추홀구청] 9.23.(수)~10.6.(화) 전진떡방앗간(미추홀구 석정로376번길9) 방문자는 주소지 보건소에서 코로나19 검사를 받으시기 바랍니다. ,PD
"[해남군청]추석연휴 외부인과 접촉 후 코로나19 증상(발열,기침,인후통 등)이 있으신 분은 외출을 자제하고 해남군보건소(061-531-3742)로 상담 바랍니다. ",PD
"[강릉시청]연휴이후 발열,기침,인후통등 호흡기 증상이 있는 시민들은 외출을 자제하시고 보건소선별진료소(9~18시)에서 무료로 코로나검사를 받으세요.660-3090 ",PD
[영등포구청] 코로나 구민확진자 1명 발생[195번째(완치168명/치료중27명)] 역학조사 후 동선공개 예정. 구청홈페이지 확인바랍니다. ☞ ydp.go.kr ,PD
"[목포시청]추석연휴 가족모임 이후 코로나19 증상(발열,기침,인후통,근육통 등)이 있는 분은 외출을 자제하고 목포시보건소(061-277-4000)로 상담 바랍니다 ",PD
"[은평구청] 추석연휴 가족·친지, 외부인과 접촉 후 코로나19 증상(발열, 기침 등)이 있는 분들은 보건소 선별진료소에서 검사를 받으시기 바랍니다. ",PD
"[완도군청]연휴기간 외부인과 접촉하신분은 코로나19 확산 방지를 위해 외출자제, 마스크착용하시고 의심증상발생시 보건의료원(061-550-6767)에 상담바랍니다. ",PD
"[부산진구청] 부산진구 10월 7일 코로나19 확진자 3명 발생, 동선 역학조사 중이며, 마스크 착용 등 개인방역 준수 바랍니다. ",PD
"[화성시청] 코로나19 140번~143번(반송동), 144번(향남읍) 확진자 발생. 격리병원이송 및 자택·주변 소독예정, 세부내용 화성시 홈페이지,SNS 등 참조 ",PD
"[연제구청]부산-418코로나19확진자 동선인 참추어탕(월드컵대로227-1,소독완료됨)2020.9.28(월)13:20~13:49방문자는 가까운 보건소상담 바랍니다 ",PD
"[곡성군청]서울,경기도,전북 등 전국에서 코로나19 확진자 다수 발생, 타지역 방문을 자제하시고, 실내외에서 마스크를 반드시 착용하시기 바랍니다. ",PD
[용산구청]코로나 126번째 확진자(해외입국) 발생. 역학조사중. 확진자 이동경로는 홈페이지 및 블로그를 참고바랍니다. blog.naver.com/ysnblog ,PD
"[고양시청] 코로나19확진자4명발생▶408~411번(관산동,402~404확진자가족)[홈페이지][카카오톡 채널]참조 바랍니다. https://han.gl/iMmgw ",PD
[의정부시청]코로나19 확진자 4명(202번~205번) 발생【호원2동 마스터플러스병원】확진자 동선 등은 시 홈페이지 및 블로그에 공개할 예정입니다. ,PD
"[보령시청]연휴이후 코로나19감염추이를 지켜봐야하는 중요시기입니다▲발열,기침,미각·후각상실 등 증상시▲외출하지마시고▲선별진료소문의(930-0900)후 검사받으세요 ",PD
"[나주시청] 추석연휴기간 타지역 방문 후 코로나19 증상(발열, 기침 등) 발생 시 보건소에서 상담(061-339-2162~4) 받으시기 바랍니다. ",PD
"[남원시청] 코로나19 확산방지를 위해 산행 시에는 마스크를 착용하지 않고 대화하지 않기, 음식 나누어 먹기 등 방역수칙을 준수하여 주시기 바랍니다. ",PD
[도봉구청] 209번 확진자 역학조사결과 이동동선 및 조치사항 홈페이지(m.dobong.go.kr)공개. 코로나19 최고의 예방책은 마스크 착용입니다. ,PD
"[미추홀구청] 코로나19 추가확진자 1명발생(용현5동), 세부내용은 홈페이지 게시하였습니다. http://michu.incheon.kr/corona ",PD
"[장수군1] 전북지역 코로나 확산 심각. 타시군 방문 자제, 마스크 착용 준수하시고, 추석연휴 모임 이후 코로나19 증상이 있는 분은 보건의료원에서 검사바랍니다. ",PD
"[서대문구청]코로나19. 128~131번째 확진자 발생. 역학조사 중. 자세한 사항 구홈페이지, 블로그 공개 예정입니다 blog.naver.com/sdmstory ",PD
[관악구청] 코로나 확진자 3명 추가 발생 및 우리구 확진자 역학조사 결과 공개 자세한 내용은 블로그 참고 바랍니다. blog.naver.com/gwanak_gu ,PD
"[강진군청]코로나19 확진자가 발생되어 음식점,카페,노래연습장 등 출입자명부작성,타지역 방문.접촉자 유증상시 선별진료소 상담받으시고 마스크 착용바랍니다. ",PD
"[완주군청]추석이후 인근지역 코로나19 확진자 지속 발생. 외출자제, 마스크착용 등 방역수칙을 준수하고, 증상시 보건소 문의바랍니다.(290-3174, 3133) ",PD
[강진군청] 코로나19 확진자 단 한명도 없음을 알려드리니 착오 없으시기 바랍니다. ,PD
"[김해시청]김해53,54번확진자 발생/해외입국자/이동경로없음/코로나19로부터 우리를 지키는 소확행!/거리두기/마스크착용/손씻기/밀폐.밀집.밀접피하기 ",PD
[영암군청] 서울·경기지역 등 코로나19 집단감염이 계속 발생중입니다. 타지역 방문을 자제하시고 실내외 반드시 마스크를 착용하여 방역수칙을 준수해주시기 바랍니다. ,PD
[도봉구청] 210~212번 확진자 역학조사결과 이동동선 및 조치사항 홈페이지(m.dobong.go.kr)공개. 코로나19 최고의 예방책은 마스크 착용입니다. ,PD
"[강진군청][정정]강진군에서 발송된 코로나19 확진자 발생 문자는 오타로 착오없으시길 바라며, 현재까지 강진군은 확진자가 단1명도 없는 청정지역입니다. ",PD
"[순창군청] 코로나19로부터 가족 보호를 위해 세대를 달리하는 가족상봉, 고위험 시설 근무자 및 방문자, 타지역 방문자는 가정에서도 마스크 착용바랍니다. ",PD
[용산구청]코로나 127번째 확진자 발생. 역학조사중. 확진자 이동경로는 추후 홈페이지 및 블로그를 참고 바랍니다. blog.naver.com/ysnblog ,PD
"[부천시청] 코로나19 확진자 1명 발생[서울시 구로구 오류동 거주] 역학조사중, 인근지역 방역소독 실시 blog.naver.com/bucheon-city ",PD
"[구로구청]코로나19 확진자 1명 발생(189번,오류1동), 역학조사후 동선공개, 구청블로그(홈페이지) 참고바랍니다 blog.naver.com/digital9ro ",PD
[성동구청] 10. 7.(수) 125번 확진자 발생(행당2동) 상세내용 / 코로나19 관련 문자 신청 c19.sd.go.kr ,PD
"[남양주시청]10.7.(수) 화도읍 주민 1명 코로나19 확진. 이동동선은 홈페이지, 블로그 참고바랍니다. c11.kr/iezs ",PD
[청주시청] 코로나19 확진자 발생(청주 84번). 해외 입국 후 자가격리 중 확진되어 별도 이동 동선 및 접촉자는 없습니다. ,PD
[의정부시청]코로나19 확진자 2명(206번~207번) 발생【호원2동 마스터플러스병원】확진자 동선 등은 시 홈페이지 및 블로그에 공개할 예정입니다. ,PD
"[영광군청]서울,경기도,부산,대전등 전국에서 코로나19 확진자 다수 발생,타지역 방문 자제,수도권 불법 집회 참석을 삼가시고, 실내외 마스크 반드시 착용 바랍니다 ",PD
"[해남군청] 우리 모두의 안전을 위해 10월9일 ~ 10월11일 진행될 한글날 집회 참석을 자제하여 주시고, 코로나19 예방을 위해 방역수칙을 준수 바랍니다. ",PD
"[담양군청] 우리 모두의 안전을 위해 수도권 집회 등 다중 집합장소 참석을 자제하여 주시고, 코로나19 예방을 위해 방역수칙을 준수 바랍니다. ",PD
"[영주시청]코로나19 확산 방지를 위해 해외입국자는 자가격리 수칙을 준수해주시고, 해외입국 예정자 가족께서는 반드시 보건소(054-631-4000)로 연락바랍니다 ",PD
"[곡성군청] 전국 코로나19 확산이 지속되고 있습니다. 실내외 마스크 반드시 착용, 사람 간 거리두기, 손 소독 등 개인 방역수칙을 철저히 지켜주시기 바랍니다. ",PD
"[고령군청]코로나19 확산방지를 위해 한글날·주말 다중운집행사, 불법집회 등의 참석을 삼가하여 주시고 마스크 바른착용 등 방역수칙을 준수해 주시기 바랍니다. ",PD
[남해군청] 코로나19와 독감을 예방할 수 있는 최고의 백신은 마스크 착용과 손씻기입니다. 청정 남해와 가족을 지킬 수 있는 방역수칙 꼭 준수바랍니다. ,PD
[창녕군청]코로나19 확산방지를 위해 행사·모임·다중이용시설 방문 자제 및 마스크 착용 등 개인방역수칙 준수와 한글날 집회 참석을 자제하여 주시기 바랍니다. ,PD
"[화순군청] 코로나19 예방을 위해 연휴 기간 이동 자제, 마스크 착용, 사회적 거리두기 등 개인방역수칙을 준수하시고, 한글날 불법집회 참석을 삼가바랍니다. ",PD
"[고창군청] 코로나19 확산 방지를 위해 거리두기, 마스크 쓰기 등 방역수칙을 준수하여 주시고 한글날 불법집회 참여를 자제 바랍니다. ",PD
"[상주시청] 코로나19예방을 위해 연휴 기간 이동 자제, 마스크 착용, 사회적 거리두기 등 개인방역수칙을 준수바랍니다. ",PD
"[완도군청]코로나19 최고의 방역은 예방입니다.마스크 쓰기,발열체크,시설 방문시 출입명부 작성,손 소독,거리두기 등 청정완도 생활방역 다섯가지 수칙 실천바랍니다. ",PD
"[경상북도청] 코로나19 확산방지를 위해 실내외 마스크 착용, 사람 간 거리두기, 손 소독 등 개인방역수칙 준수와 한글날 집회 참석을 자제하여 주시기 바랍니다. ",PD
[전남도청] 도민의 생명과 안전을 위해 불법집회 참석을 삼가해 주세요. 집회참석으로 인한 코로나19 지역 감염 시 치료비와 모든 사회적 비용을 청구할 계획입니다. ,PD
"[예천군청]추석이후 코로나19증상(발열,기침,미각·후각장애 등)발생시 보건소로 상담바라며, 한글날 연휴 이동자제와 외출시 마스크 착용 등 방역수칙 준수바랍니다. ",PD
"[성주군청] 코로나19 의심증상(발열, 인후통, 근육통 등)이 있으신 분은 의료기관 방문 전에 관할 보건소 선별진료소를 먼저 방문하여 주시기 바랍니다. ",PD
"[강진군청]코로나19 청정지역인 강진군을 계속 유지하기위해,타지역 방문,여행,모임,외출을 자제하고,실내.외 마스크 착용,사람간 접촉 최소화등 방역수칙 준수바랍니다 ",PD
"[부산시] 코로나19 확산방지를 위해 특별방역기간(9.28~10.11) 중 다중집합 모임 자제, 불법 유상운송 안하기 등에 동참하여 주시기 바랍니다. ",PD
"[봉화군청]코로나19 확산방지를 위해 특별방역기간(9.28~10.11)중 한글날 불법집회 등 다중집합모임 자제, 대절차량 운행 안하기에 동참하여 주시기 바랍니다. ",PD
"[광주광역시]발열과 기침, 미각소실 등 코로나19 의심증상이 있는 분은 외출·만남 자제, 의료기관을 방문하지 말고 바로 거주지보건소에서 무료 검사받으시기 바랍니다 ",PD
"[구례군청] 코로나19 확산방지를 위해 실내외 마스크 착용, 사람 간 거리두기, 손 소독 등 개인방역수칙 준수와 한글날 집회 참석을 자제하여 주시기 바랍니다. ",PD
"[광양시청] 코로나19 의심증상(발열, 인후통 등)이 있으신 분은 보건소로 상담바라며, 한글날 연휴 이동 자제와 외출시 마스크 착용 등 방역수칙 준수 바랍니다. ",PD
"[나주시청] 연휴 기간 타지역 방문 자제, 한글날 집회 참석을 삼가주시고 코로나19 예방을 위해 개인 방역수칙을 준수하여 주시기 바랍니다. ",PD
"[진안군청]코로나19 전국 산발적 감염 여전▲불필요한 외출,지역간 이동,지인과의 만남 자제▲의심증상발생시 의료기관 방문말고, 보건소 문의후 선별진료소 진단바랍니다 ",PD
[안양시청] 안양208번 확진자 발생. blog.anyang.go.kr/222110023540 발열 등 코로나19 의심증상 발현시 1339나 관할보건소로 문의바람 ,PD
[홍성군청]대전(중구/40대)확진자 10월5~6일 홍성지역 이동동선 파악 등 역학조사중(접촉자 검사중). 올바른 마스크 착용으로 코로나를 예방할 수 있습니다. ,PD
"[부안군청] 코로나19 예방을 위해 상시 마스크 착용, 거리두기 등 개인방역수칙을 준수하여 주시고, 한글날 불법집회 참여를 자제 바랍니다. ",PD
"[고성군청] 코로나19 확산방지를 위해 한글날, 주말다중운집행사, 불법집회 참석을 자제하여 주시고 외출시 마스크 착용 등 방역수칙 준수바랍니다. ",PD
